timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1666098000,Oct 18 2022 - 1:00pm,complete,N/A,Aswan FC,Al Ittihad,Mohamed Maarouf Eid Mansour,1,0.00,0.00,1.80,1.00,0,1,1,0,0,0,"","85",5,5,2,0,2,0,1,1,1,1,9,7,3,4,6,3,-1,-1,34,66,0.00,0.00,1.11,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.95,2.95,2.50,1.46,2.30,4.40,9.25,2.00,1.70,Aswan Stadium (Aswan)
1666105200,Oct 18 2022 - 3:00pm,complete,N/A,National Bank of Egypt,Pharco,N/A,1,0.00,0.00,1.33,1.00,1,1,2,1,1,0,"17","90'6",5,4,3,0,2,0,0,3,0,2,7,7,5,5,2,2,13,6,56,44,0.00,0.00,1.34,1.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.14,2.52,3.38,1.53,2.50,4.24,8.10,1.90,1.86,Petrosport Stadium (al-Qāhirah (Cairo))
1666112400,Oct 18 2022 - 5:00pm,complete,N/A,Al Masry,Ceramica Cleopatra,N/A,1,0.00,0.00,1.33,1.20,0,3,3,2,0,2,"","15,30,59",9,3,2,0,0,0,0,2,0,0,14,13,5,6,9,7,-1,-1,58,42,0.00,0.00,1.98,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.10,3.75,1.35,2.20,3.66,6.80,1.86,1.86,Borg El Arab Stadium (Al-Iskandarîah (Alexandria))
1666191600,Oct 19 2022 - 3:00pm,complete,N/A,Ismaily SC,Al Ahly,Mohamed Adel,1,0.00,0.00,0.33,2.67,0,1,1,0,0,0,"","73",9,11,1,0,2,1,1,0,1,2,3,24,0,8,3,16,11,13,45,55,0.00,0.00,0.54,2.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.50,3.50,1.55,1.39,2.25,3.90,8.00,2.20,1.58,Borg El Arab Stadium (Al-Iskandarîah (Alexandria))
1666191600,Oct 19 2022 - 3:00pm,complete,N/A,ENPPI,Pyramids FC,Amin Omar,1,0.00,0.00,0.67,1.14,1,1,2,1,0,1,"58","20",6,9,2,0,2,0,1,1,1,1,5,17,3,4,2,13,5,6,33,67,0.00,0.00,0.93,2.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.75,3.75,1.53,1.32,1.95,3.41,6.83,1.85,1.91,Petrosport Stadium (al-Qāhirah (Cairo))
1666198800,Oct 19 2022 - 5:00pm,complete,N/A,Zamalek,Smouha SC,N/A,1,0.00,0.00,2.33,1.17,2,0,2,0,0,0,"79,90'4","",3,6,0,0,4,0,0,0,1,3,7,12,4,4,3,8,6,12,56,44,0.00,0.00,1.08,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.63,3.35,4.60,1.21,1.83,2.65,4.70,1.67,2.14,Arab Contractors Stadium (Osman Ahmed Osman Stadium) (al-Qāhirah (Cairo))
1666270800,Oct 20 2022 - 1:00pm,complete,N/A,Al Mokawloon,Ghazl El Mehalla,N/A,1,0.00,0.00,2.00,1.33,1,1,2,0,0,0,"51","61",7,1,2,0,1,0,0,2,0,1,13,12,4,6,9,6,10,5,42,58,0.00,0.00,1.70,1.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,2.80,3.50,1.57,2.60,5.49,10.50,2.38,1.55,Arab Contractors Stadium (Osman Ahmed Osman Stadium) (al-Qāhirah (Cairo))
1666278000,Oct 20 2022 - 3:00pm,complete,N/A,Haras El Hodood,Coca-Cola,Mohamed Hanafi,1,0.00,0.00,1.33,2.33,0,2,2,0,0,0,"","75,87",4,5,3,0,2,0,0,3,0,2,3,11,3,6,0,5,17,8,40,60,0.00,0.00,0.68,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.63,3.28,1.79,1.41,2.34,4.10,7.80,2.16,1.66,Haras El Hodoud Stadium (Al-Iskandarîah (Alexandria))
1666285200,Oct 20 2022 - 5:00pm,complete,N/A,El Daklyeh FC,El Geish,Mahmoud Bassiouni,1,0.00,0.00,0.86,0.43,0,0,0,0,0,0,"","",4,2,1,0,3,0,0,1,0,3,10,9,5,5,5,4,16,12,48,52,0.00,0.00,1.37,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.75,3.30,1.65,1.42,2.25,4.10,8.50,2.20,1.60,New Suez Stadium (as-Suways (Suez))
1666530000,Oct 23 2022 - 1:00pm,complete,N/A,Pyramids FC,Al Masry,N/A,2,0.00,0.00,2.67,1.50,0,0,0,0,0,0,"","",3,6,1,1,1,0,2,0,0,1,4,14,2,4,2,10,7,11,36,64,0.00,0.00,0.80,1.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.48,3.73,5.82,1.26,1.85,3.20,6.25,1.88,1.88,Borg El Arab Stadium (Al-Iskandarîah (Alexandria))
