team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
ENPPI Club,ENPPI,2022/2023,Egypt,12,6,6,0,2,0,2,4,4,0,6,2,4,0.83,0.67,1,17,17,12,17,11,18,-7,29,9,20,3,8,6,12,-3,-4,98,180,68,60,90,45,2,2,0,7,3,4,5,3,2,4,0,4,65,39,26,29,19,10,48,47,49,100,47,53,39,11,28,61,36,25,136,68,68,7,0,7,7,3,4,0,-3,3,3,0,3,5,3,2,4,3,1,1.17,0.5,1.83,2.42,1.5,3.33,0.92,0.5,1.33,1.5,1,2,1.17,0.5,1.83,0.58,0,1.17,0.58,0.5,0.67,10,10,5,2,2,0,4,4,1,0,0,0,6,6,4,2,2,0,2,2,7,10,10,12,2,2,5,6,6,6,0,0,2,4,4,6,83,83,42,17,17,0,67,67,17,0,0,0,100,100,67,33,33,0,17,17,58,83,83,100,33,33,83,100,100,100,0,0,33,67,67,100,8,4,2,3,0,0,5,4,2,67,33,17,50,0,0,83,67,33,17,0,33,-7,17,33,0,58,50,67,42,50,33,33,0,67,6,3,3,50,50,50,8,6,2,67,100,33,2,0,2,17,0,33,25,0,50,42,50,33,33,50,17,5.42,6.50,4.33,2.64,3.17,2.00,92,75,57,50,42,42,42,42,1.04,0.94,1.15,1.44,1.34,1.54,75,2,3,1,1,0,1,1,0,2,0,4,1,0,2,2,2,2,5,33,67,0,50,33,67,17
Aswan FC,Aswan FC,2022/2023,Egypt,12,5,7,0,5,3,2,1,0,1,6,2,4,1.33,1.8,1,9,9,8,9,13,13,0,26,8,18,5,8,3,10,2,-2,83,90,79,83,150,63,3,2,1,6,1,5,4,2,2,4,3,1,58,28,30,28,8,20,47,45,49,109,55,54,50,23,27,59,32,27,127,37,90,9,5,4,4,0,4,5,5,0,5,3,2,5,2,3,2,0,2,1.67,2.2,1.29,2.17,1.6,2.57,1.08,1,1.14,1.08,0.6,1.43,1.08,1,1.14,0.75,1,0.57,0.33,0,0.57,11,7,6,1,1,0,5,2,1,0,0,0,6,5,5,1,1,0,1,5,6,11,11,12,0,3,4,5,5,5,1,2,2,6,6,7,92,58,50,8,8,0,100,40,20,0,0,0,86,71,71,14,14,0,8,42,50,92,92,100,0,60,80,100,100,100,14,29,29,86,86,100,8,4,1,3,2,0,5,2,1,67,33,8,60,40,0,71,29,14,42,60,29,19,25,40,14,50,20,71,33,40,29,33,60,14,8,5,3,67,100,43,6,2,4,50,40,57,2,0,2,17,0,29,42,60,29,42,40,43,17,0,29,4.83,5.60,4.29,2.33,1.6,2.86,92,92,75,67,50,50,42,42,1.09,1.28,0.95,1.51,1.42,1.57,8,1,2,0,3,3,0,0,1,3,2,1,0,1,1,2,1,1,4,8,0,14,50,40,57,17
El Daklyeh FC,El Daklyeh FC,2022/2023,Egypt,13,7,6,0,1,1,0,7,3,4,5,3,2,0.77,0.86,0.67,15,16,15,15,9,16,-7,25,16,9,6,3,10,6,-4,-3,130,105,180,73,63,90,4,2,2,6,3,3,7,4,3,1,0,1,44,21,23,23,12,11,50,49,50,97,47,50,47,26,21,50,21,29,153,81,72,4,2,2,7,4,3,-3,-2,-1,1,0,1,8,5,3,4,2,2,0.85,0.71,1,1.92,2.29,1.5,0.69,0.86,0.5,1.23,1.43,1,0.85,0.86,0.83,0.31,0.29,0.33,0.54,0.57,0.5,9,7,4,2,2,1,5,3,3,2,2,1,4,4,1,0,0,0,4,6,9,11,11,12,2,4,4,5,5,6,2,2,5,6,6,6,69,54,31,15,15,8,71,43,43,29,29,14,67,67,17,0,0,0,31,46,69,85,85,92,29,57,57,71,71,86,33,33,83,100,100,100,7,3,1,3,2,1,4,1,0,54,23,8,43,29,14,67,17,0,8,14,0,5,31,29,33,46,43,50,54,57,50,8,0,17,7,4,3,54,57,50,9,5,4,69,71,67,3,2,1,23,29,17,8,0,17,62,71,50,31,29,33,3.38,3.00,3.83,1.77,1.71,1.83,85,62,54,46,31,8,0,0,0.83,0.78,0.88,1.53,1.64,1.40,62,0,1,2,0,2,0,2,2,0,3,0,1,3,1,2,2,0,4,54,43,67,38,43,33,0
Ismaily SC,Ismaily SC,2022/2023,Egypt,12,6,6,0,1,0,1,4,2,2,7,4,3,0.58,0.33,0.83,18,18,14,18,7,15,-8,22,6,16,1,6,5,10,-4,-4,155,529,90,72,108,54,2,2,0,6,1,5,6,5,1,2,0,2,74,32,42,25,10,15,51,49,53,123,54,69,44,18,26,79,36,43,147,56,91,3,1,2,10,4,6,-7,-3,-4,1,0,1,4,3,1,7,3,4,0.58,0.5,0.67,1.83,1,2.67,0.58,0.17,1,1.25,0.83,1.67,1.08,0.83,1.33,0.25,0.17,0.33,0.83,0.67,1,10,7,4,1,0,0,4,1,1,0,0,0,6,6,3,1,0,0,2,5,8,11,12,12,2,5,5,6,6,6,0,0,3,5,6,6,83,58,33,8,0,0,67,17,17,0,0,0,100,100,50,17,0,0,17,42,67,92,100,100,33,83,83,100,100,100,0,0,50,83,100,100,8,2,2,3,1,1,5,1,1,67,17,17,50,17,17,83,17,17,8,0,17,-19,17,33,0,50,17,83,50,83,17,17,0,33,5,3,2,42,50,33,9,5,4,75,83,67,2,1,1,17,17,17,8,0,17,33,50,17,58,50,67,6.17,5.33,7.00,2.08,1.67,2.50,92,75,67,57,42,25,25,25,1.35,1.22,1.48,1.35,1.27,1.43,17,1,1,0,1,0,0,1,1,2,4,2,1,2,2,1,0,2,1,33,33,33,58,67,50,25
Al Ahly SC,Al Ahly,2022/2023,Egypt,12,6,6,0,9,4,5,3,2,1,0,0,0,2.5,2.33,2.67,1,3,1,1,22,5,17,27,12,15,10,12,2,3,8,9,49,54,45,214,273,180,7,4,3,5,2,3,1,1,0,9,4,5,85,25,60,17,8,9,51,51,52,168,72,96,74,31,43,94,41,53,144,77,67,10,5,5,4,1,3,6,4,2,6,4,2,4,1,3,2,1,1,1.83,2.17,1.5,2.25,2,2.5,1.83,1.67,2,0.42,0.33,0.5,1.17,1,1.33,0.83,0.83,0.83,0.33,0.17,0.5,11,9,5,1,1,0,5,4,3,0,0,0,6,5,2,1,1,0,1,3,7,11,11,12,1,2,3,6,6,6,0,1,4,5,5,6,92,75,42,8,8,0,83,67,50,0,0,0,100,83,33,17,17,0,8,25,58,92,92,100,17,33,50,100,100,100,0,17,67,83,83,100,9,4,1,5,1,0,4,3,1,75,33,8,83,17,0,67,50,17,75,67,83,6,58,67,50,42,33,50,8,17,0,75,67,83,8,5,3,67,83,50,5,2,3,42,33,50,2,0,2,17,0,33,50,67,33,33,17,50,17,17,17,7.08,4.17,10.00,1.42,1.33,1.50,83,67,67,57,57,50,42,33,2.00,1.73,2.28,1.03,1.13,0.94,42,2,4,2,2,1,3,2,3,3,0,1,1,1,1,0,0,1,0,25,33,17,0,0,0,25
Zamalek SC,Zamalek,2022/2023,Egypt,13,6,7,0,7,4,3,5,2,3,1,0,1,2,2.33,1.71,3,2,3,3,22,7,15,29,17,12,13,9,4,3,9,6,53,41,70,167,134,209,8,3,5,5,3,2,2,0,2,8,4,4,73,22,51,17,5,12,51,51,51,157,73,84,69,31,38,88,42,46,106,54,52,9,6,3,5,3,2,4,3,1,6,3,3,5,2,3,2,1,1,1.77,1.83,1.71,2.23,2.83,1.71,1.69,2.17,1.29,0.54,0.67,0.43,1.08,1.5,0.71,0.69,1,0.43,0.38,0.5,0.29,11,9,5,4,0,0,6,5,3,3,0,0,5,4,2,1,0,0,2,4,8,9,13,13,0,1,3,3,6,6,2,3,5,6,7,7,85,69,38,31,0,0,100,83,50,50,0,0,71,57,29,14,0,0,15,31,62,69,100,100,0,17,50,50,100,100,29,43,71,86,100,100,9,3,1,5,2,1,4,1,0,69,23,8,83,33,17,57,14,0,54,67,43,2,62,50,71,38,50,29,15,0,29,62,67,57,9,3,6,69,50,86,6,2,4,46,33,57,2,2,0,15,33,0,46,50,43,38,33,43,15,17,14,5.62,3.67,7.29,1.31,0.83,1.71,92,85,77,54,31,23,23,23,1.61,1.56,1.66,1.45,1.54,1.36,31,3,2,0,1,3,4,0,2,7,2,0,1,1,1,1,0,0,1,38,33,43,8,0,14,15
Al Mokawloon Al Arab,Al Mokawloon,2022/2023,Egypt,12,6,6,1,4,3,1,6,3,3,2,0,2,1.5,2,1,6,6,11,6,14,13,1,27,15,12,9,5,6,7,3,-2,77,60,108,83,90,77,4,2,2,7,4,3,5,2,3,6,3,3,56,30,26,25,12,13,49,50,48,118,76,42,53,37,16,65,39,26,177,85,92,6,3,3,8,4,4,-2,-1,-1,2,1,1,6,3,3,4,2,2,1,1,1,2.25,2.5,2,1.17,1.5,0.83,1.08,1,1.17,1.17,1.17,1.17,0.5,0.5,0.5,0.67,0.67,0.67,8,8,6,3,2,0,4,4,3,2,2,0,4,4,3,1,0,0,4,4,6,9,10,12,2,2,3,4,4,6,2,2,3,5,6,6,67,67,50,25,17,0,67,67,50,33,33,0,67,67,50,17,0,0,33,33,50,75,83,100,33,33,50,67,67,100,33,33,50,83,100,100,7,4,3,3,2,2,4,2,1,58,33,25,50,33,33,67,33,17,33,50,17,18,33,33,33,58,67,50,42,33,50,50,50,50,7,4,3,58,67,50,6,3,3,50,50,50,4,2,2,33,33,33,17,17,17,50,50,50,33,33,33,4.67,5.00,4.33,2.08,2,2.17,92,83,57,50,33,33,25,17,1.31,1.73,0.89,1.45,1.32,1.57,75,4,0,1,1,1,3,3,0,1,1,3,1,2,1,0,3,1,1,50,50,50,17,0,33,8
Tala'ea El Gaish,El Geish,2022/2023,Egypt,13,6,7,0,3,3,0,4,1,3,6,2,4,1,1.67,0.43,12,7,17,12,15,21,-6,36,19,17,9,6,10,11,-1,-5,78,60,105,56,54,57,3,1,2,9,4,5,3,1,2,6,2,4,55,25,30,32,16,16,49,49,49,123,61,62,57,24,33,66,37,29,148,72,76,9,4,5,8,5,3,1,-1,2,5,2,3,4,1,3,4,3,1,1.46,1.17,1.71,2.77,3.17,2.43,1.15,1.5,0.86,1.62,1.67,1.57,1.31,1.5,1.14,0.69,0.67,0.71,0.62,0.83,0.43,11,10,9,5,1,0,6,5,5,3,0,0,5,5,4,2,1,0,2,3,4,8,12,13,0,1,1,3,6,6,2,2,3,5,6,7,85,77,69,38,8,0,100,83,83,50,0,0,71,71,57,29,14,0,15,23,31,62,92,100,0,17,17,50,100,100,29,29,43,71,86,100,11,5,1,6,3,0,5,2,1,85,38,8,100,50,0,71,29,14,23,50,0,14,23,17,29,69,67,71,23,17,29,46,33,57,6,2,4,46,33,57,6,3,3,46,50,43,3,1,2,23,17,29,38,33,43,31,17,43,31,50,14,4.23,4.17,4.29,2.46,2.67,2.29,69,54,54,46,38,31,23,8,1.25,1.29,1.23,1.31,1.23,1.39,100,0,3,2,2,3,1,3,0,1,2,3,1,0,2,2,5,3,3,31,17,43,46,33,57,0
Smouha SC,Smouha SC,2022/2023,Egypt,13,7,6,0,2,1,1,7,3,4,4,3,1,1,0.86,1.17,11,15,7,11,6,11,-5,17,12,5,4,2,8,3,-4,-1,196,158,273,106,79,180,6,2,4,4,3,1,8,4,4,4,2,2,69,42,27,29,12,17,50,50,50,121,69,52,48,28,20,73,41,32,137,61,76,5,3,2,6,5,1,-1,-2,1,2,1,1,9,4,5,2,2,0,1.15,1,1.33,1.31,1.71,0.83,0.46,0.57,0.33,0.85,1.14,0.5,0.85,1.14,0.5,0.38,0.43,0.33,0.46,0.71,0.17,8,7,2,0,0,0,5,5,2,0,0,0,3,2,0,0,0,0,5,6,11,13,13,13,2,2,5,7,7,7,3,4,6,6,6,6,62,54,15,0,0,0,71,71,29,0,0,0,50,33,0,0,0,0,38,46,85,100,100,100,29,29,71,100,100,100,50,67,100,100,100,100,6,4,1,4,3,1,2,1,0,46,31,8,57,43,14,33,17,0,15,14,17,-5,46,29,67,31,43,17,62,57,67,31,29,33,9,4,5,69,57,83,8,4,4,62,57,67,3,2,1,23,29,17,15,14,17,69,57,83,15,29,0,5.31,6.00,4.50,2.23,1.71,2.83,77,69,62,54,38,38,23,15,1.24,1.31,1.15,0.98,0.94,1.03,38,2,0,2,0,1,0,0,1,0,0,2,0,3,2,0,0,2,2,54,43,67,31,43,17,8
Al Ittihad Al Iskandary,Al Ittihad,2022/2023,Egypt,13,7,6,0,6,4,2,1,1,0,6,2,4,1.46,1.86,1,5,5,13,5,12,14,-2,26,13,13,8,4,5,9,3,-5,98,79,134,83,127,60,6,4,2,3,2,1,5,2,3,5,3,2,72,30,42,20,8,12,51,49,54,157,93,64,58,36,22,99,57,42,118,66,52,2,2,0,9,4,5,-7,-2,-5,2,2,0,4,2,2,7,3,4,0.77,1.14,0.33,2,1.86,2.17,0.92,1.14,0.67,1.08,0.71,1.5,0.85,0.86,0.83,0.15,0.29,0,0.69,0.57,0.83,12,8,5,1,0,0,6,4,2,1,0,0,6,4,3,0,0,0,1,5,8,12,13,13,1,3,5,6,7,7,0,2,3,6,6,6,92,62,38,8,0,0,86,57,29,14,0,0,100,67,50,0,0,0,8,38,62,92,100,100,14,43,71,86,100,100,0,33,50,100,100,100,9,2,0,5,1,0,4,1,0,69,15,0,71,14,0,67,17,0,46,57,33,29,46,57,33,23,29,17,38,29,50,38,43,33,6,4,2,46,57,33,11,5,6,85,71,100,0,0,0,0,0,0,15,29,0,31,29,33,54,43,67,5.54,4.29,7.00,1.67,1.33,2.00,100,85,85,85,77,69,38,23,1.55,1.67,1.41,1.40,1.37,1.45,31,1,0,0,1,1,1,2,2,4,0,1,2,4,2,1,1,1,2,8,14,0,46,29,67,8
