timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1660408200,Aug 13 2022 - 4:30pm,complete,N/A,AC Milan,Udinese,Livio Marinelli,1,0.00,0.00,2.27,1.36,4,2,6,4,2,2,"11,15,46,68","2,45'4",5,1,1,0,4,0,1,0,2,2,16,10,6,5,10,5,16,13,59,41,0.00,0.00,1.74,1.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.38,4.70,8.16,1.24,1.74,2.90,5.50,1.98,1.73,Stadio Giuseppe Meazza (Milano)
1660408200,Aug 13 2022 - 4:30pm,complete,N/A,Sampdoria,Atalanta,Federico Dionisi,1,0.00,0.00,0.27,2.00,0,2,2,1,0,1,"","26,90'5",3,2,4,0,6,0,1,3,2,4,13,11,3,4,10,7,13,21,55,45,0.00,0.00,1.41,1.25,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.14,3.80,1.80,1.22,1.66,2.70,5.00,1.62,2.20,Stadio Comunale Luigi Ferraris (Genova)
1660416300,Aug 13 2022 - 6:45pm,complete,N/A,Lecce,Inter Milan,Alessandro Prontera,1,0.00,0.00,1.09,1.55,1,2,3,1,0,1,"48","2,90'5",6,8,4,0,2,0,1,3,0,2,11,19,5,10,6,9,21,19,30,70,0.00,0.00,1.21,2.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.71,5.50,1.29,1.19,1.59,2.55,4.50,2.00,1.71,Stadio Comunale Via del Mare (Lecce)
1660416300,Aug 13 2022 - 6:45pm,complete,N/A,Monza,Torino,Maurizio Mariani,1,0.00,0.00,1.36,1.25,1,2,3,1,0,1,"90'4","43,66",2,7,1,0,2,0,0,1,2,0,17,12,5,6,12,6,6,17,54,46,0.00,0.00,1.61,1.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.30,2.69,1.38,2.05,4.00,8.00,1.91,1.91,U-Power Stadium (Monza)
1660494600,Aug 14 2022 - 4:30pm,complete,N/A,Fiorentina,Cremonese,Juan Luca Sacchi,1,0.00,0.00,1.36,0.45,3,2,5,3,2,1,"16,34,90'5","19,68",11,4,0,0,3,1,0,0,2,2,29,15,11,5,18,10,10,19,75,25,0.00,0.00,3.06,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.36,4.80,7.20,1.20,1.63,2.73,5.00,1.95,1.80,Stadio Artemio Franchi (Firenze)
1660494600,Aug 14 2022 - 4:30pm,complete,N/A,Lazio,Bologna,Luca Massimi,1,0.00,0.00,1.75,1.00,2,1,3,1,0,1,"68,79","38",3,2,2,1,5,1,1,2,4,2,12,11,9,2,3,9,11,18,41,59,0.00,0.00,1.73,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,4.30,5.65,1.20,1.65,2.60,4.75,1.70,2.05,Stadio Olimpico (Roma)
1660502700,Aug 14 2022 - 6:45pm,complete,N/A,Salernitana,Roma,Simone Sozza,1,0.00,0.00,1.09,1.83,0,1,1,1,0,1,"","33",4,2,3,0,2,0,3,0,0,2,15,22,3,6,12,16,18,9,52,48,0.00,0.00,1.46,2.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.60,4.48,1.63,1.25,1.75,3.00,5.50,1.95,1.80,Stadio Arechi (Salerno)
1660502700,Aug 14 2022 - 6:45pm,complete,N/A,Spezia,Empoli,Daniele Chiffi,1,0.00,0.00,1.09,1.00,1,0,1,1,1,0,"36","",6,4,2,0,1,0,1,1,1,0,11,19,3,5,8,14,15,8,41,59,0.00,0.00,1.17,2.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.54,3.54,2.95,1.30,1.90,3.30,6.50,1.70,2.05,Stadio Alberto Picco (La Spezia)
1660581000,Aug 15 2022 - 4:30pm,complete,N/A,Hellas Verona,Napoli,Michael Fabbri,1,0.00,0.00,1.08,2.58,2,5,7,3,1,2,"29,48","37,45'3,55,65,79",4,8,2,0,2,0,1,1,0,2,6,27,4,9,2,18,15,6,34,66,0.00,0.00,0.91,2.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,3.50,2.10,1.24,1.67,2.92,5.00,1.62,2.20,Stadio Marc'Antonio Bentegodi (Verona)
1660589100,Aug 15 2022 - 6:45pm,complete,N/A,Juventus,Sassuolo,Antonio Rapuano,1,0.00,0.00,2.25,0.83,3,0,3,2,2,0,"26,43,51","",3,2,1,0,3,0,1,0,2,1,16,20,5,9,11,11,7,5,42,58,0.00,0.00,1.57,2.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,4.60,7.00,1.16,1.58,2.30,3.70,1.70,2.05,Allianz Stadium (Torino)
