full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abdelhamid Sabiri,26,849168000,1996/11/28,Serie A,2022/2023,Midfielder,Sampdoria,918,512,406,Morocco,13,7,6,1,0,1,0,0,0,0,0,2,1,1,15,6,9,4,0,0.1,0,0.1,0,0.22,918,1.47,61,71,230,0,0.39,154,306,-1,4
Abdou Harroui,25,884678400,1998/01/13,Serie A,2022/2023,Midfielder,Sassuolo,285,164,121,Morocco,13,7,6,1,1,0,0,0,0,0,0,6,4,2,2,2,0,1,0,0.32,0,0.32,0.55,0,285,0.63,143,22,285,0,0.32,43,240,-1,8
Adam Marušić,30,719305200,1992/10/17,Serie A,2022/2023,Defender,Lazio,1830,948,882,Montenegro,21,11,10,0,0,0,1,0,1,0,0,11,5,6,15,9,6,4,0,0.05,0.05,0,0,0,0,0.74,122,87,458,1830,0.2,379,189,17,20
Adam Masina,29,757497600,1994/01/02,Serie A,2022/2023,Defender,Udinese,306,133,173,Morocco,4,2,2,1,0,1,0,0,0,0,0,2,2,0,5,0,5,0,0,0.29,0,0.29,0,0.52,306,1.47,61,77,0,0,0,50,327,123,13
Adam Ounas,26,847699200,1996/11/11,Serie A,2022/2023,Midfielder,Napoli,13,6,7,Algeria,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,20
Ademola Lookman,25,877330800,1997/10/20,Serie A,2022/2023,Forward,Atalanta,1220,674,546,England,20,10,10,12,7,5,3,1,2,3,0,7,2,5,16,11,5,2,0,1.11,0.22,0.89,0.93,0.82,102,1.18,76,61,610,407,0.15,2,52,-1,1
Adolfo Julián Gaich,23,920016000,1999/02/26,Serie A,2022/2023,Forward,Hellas Verona,22,22,0,Argentina,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,-1,-1,-1,15
Adrien Rabiot,27,796892400,1995/04/03,Serie A,2022/2023,Midfielder,Juventus,1401,765,636,France,17,9,8,3,3,0,2,1,1,0,0,12,6,6,12,5,7,3,0,0.32,0.13,0.19,0.35,0,467,0.77,117,82,467,701,0.19,93,100,-1,5
Adrien Tameze,28,760348800,1994/02/04,Serie A,2022/2023,Midfielder,Hellas Verona,1565,785,780,France,20,10,10,0,0,0,0,0,0,0,0,2,2,0,24,13,11,2,0,0,0,0,0,0,0,1.38,65,78,783,0,0.12,363,334,-1,29
Agustín Álvarez Martínez,21,990255600,2001/05/19,Serie A,2022/2023,Forward,Sassuolo,283,134,149,Uruguay,16,7,9,1,0,1,1,1,0,0,0,5,3,2,4,1,3,1,0,0.64,0.32,0.32,0,0.6,283,1.27,71,18,283,283,0.32,42,19,-1,7
