team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
SSC Napoli,Napoli,2022/2023,Italy,23,11,12,0,20,10,10,2,1,1,1,0,1,2.7,2.82,2.58,1,1,1,1,56,15,41,71,39,32,31,25,8,7,23,18,37,32,43,138,123,155,11,5,6,11,6,5,2,0,2,17,10,7,124,71,53,31,8,23,61,61,62,392,214,178,159,85,74,233,129,104,208,80,128,26,16,10,7,4,3,19,12,7,13,7,6,10,4,6,0,0,0,2.13,2.27,2,3.09,3.55,2.67,2.43,2.82,2.08,0.65,0.73,0.58,1.43,1.82,1.08,1.13,1.45,0.83,0.3,0.36,0.25,22,19,14,8,5,2,11,10,8,6,3,1,11,9,6,2,2,1,1,4,9,15,18,21,0,1,3,5,8,10,1,3,6,10,10,11,96,83,61,35,22,9,100,91,73,55,27,9,92,75,50,17,17,8,4,17,39,65,78,91,0,9,27,45,73,91,8,25,50,83,83,92,16,11,5,9,7,3,7,4,2,70,48,22,82,64,27,58,33,17,87,91,83,2,48,45,50,48,55,42,9,0,17,74,91,58,16,7,9,70,64,75,7,2,5,30,18,42,7,4,3,30,36,25,57,64,50,43,36,50,0,0,0,5.39,6.45,4.42,1.35,0.73,1.92,87,61,52,43,35,30,26,22,2.17,2.42,1.94,1.18,1.20,1.16,83,2,7,4,9,7,4,8,8,7,1,1,1,1,5,2,1,2,1,9,9,8,4,0,8,13
Juventus FC,Juventus,2022/2023,Italy,22,12,10,0,13,8,5,5,3,2,4,1,3,2,2.25,1.7,9,3,5,2,34,17,17,51,33,18,25,9,8,9,17,0,58,43,100,117,134,100,14,8,6,5,3,2,4,1,3,15,9,6,108,63,45,47,22,25,49,48,51,310,193,117,132,81,51,178,112,66,244,135,109,14,10,4,9,5,4,5,5,0,9,8,1,9,2,7,4,2,2,1.64,2.17,1,2.32,2.75,1.8,1.55,2.08,0.9,0.77,0.67,0.9,1.05,1.25,0.8,0.64,0.83,0.4,0.41,0.42,0.4,21,14,8,4,2,2,12,10,6,3,1,1,9,4,2,1,1,1,1,8,14,18,20,20,0,2,6,9,11,11,1,6,8,9,9,9,95,64,36,18,9,9,100,83,50,25,8,8,90,40,20,10,10,10,5,36,64,82,91,91,0,17,50,75,92,92,10,60,80,90,90,90,14,7,2,10,4,1,4,3,1,64,32,9,83,33,8,40,30,10,59,67,50,24,64,67,60,23,25,20,18,8,30,68,75,60,16,9,7,73,75,70,11,4,7,50,33,70,3,1,2,14,8,20,41,67,10,41,17,70,18,17,20,4.91,5.25,4.50,2.14,1.83,2.50,91,82,73,55,27,18,9,5,1.64,1.90,1.35,1.48,1.44,1.52,50,4,0,4,2,5,7,2,2,8,1,3,1,2,3,3,2,2,0,23,25,20,18,8,30,0
AS Roma,Roma,2022/2023,Italy,22,10,12,0,12,6,6,5,1,4,5,3,2,1.86,1.9,1.83,4,6,3,5,29,19,10,48,17,31,12,17,5,14,7,3,68,75,63,105,180,77,8,5,3,10,2,8,4,3,1,11,6,5,107,57,50,45,17,28,49,49,49,315,159,156,122,59,63,193,100,93,261,118,143,14,7,7,11,3,8,3,4,-1,7,4,3,9,4,5,6,2,4,1.36,1.6,1.17,2.18,1.7,2.58,1.32,1.2,1.42,0.86,0.5,1.17,1.14,1,1.25,0.64,0.7,0.58,0.5,0.3,0.67,22,15,8,3,0,0,10,5,2,0,0,0,12,10,6,3,0,0,0,7,14,19,22,22,0,5,8,10,10,10,0,2,6,9,12,12,100,68,36,14,0,0,100,50,20,0,0,0,100,83,50,25,0,0,0,32,64,86,100,100,0,50,80,100,100,100,0,17,50,75,100,100,18,7,0,7,3,0,11,4,0,82,32,0,70,30,0,92,33,0,55,60,50,17,36,50,25,45,20,67,18,30,8,50,60,42,11,7,4,50,70,33,10,5,5,45,50,42,5,1,4,23,10,33,32,40,25,41,40,42,27,20,33,4.86,5.70,4.17,2.05,1.7,2.33,64,45,45,36,27,18,18,18,1.58,1.72,1.46,1.34,1.22,1.44,55,5,3,0,4,4,0,3,4,6,3,1,4,2,1,2,0,3,3,23,10,33,23,30,17,5
Torino FC,Torino,2022/2023,Italy,22,10,12,0,8,4,4,6,3,3,8,3,5,1.36,1.5,1.25,8,12,9,9,22,23,-1,45,14,31,8,14,6,17,2,-3,90,113,77,86,150,63,5,4,1,12,3,9,6,4,2,11,4,7,101,52,49,51,21,30,53,58,50,285,125,160,116,51,65,169,74,95,308,113,195,11,4,7,8,2,6,3,2,1,8,3,5,9,5,4,5,2,3,1.5,1.4,1.58,2.05,1.4,2.58,1,0.8,1.17,1.05,0.6,1.42,0.86,0.6,1.08,0.5,0.4,0.58,0.36,0.2,0.5,21,13,8,3,0,0,9,4,1,0,0,0,12,9,7,3,0,0,1,9,14,19,22,22,1,6,9,10,10,10,0,3,5,9,12,12,95,59,36,14,0,0,90,40,10,0,0,0,100,75,58,25,0,0,5,41,64,86,100,100,10,60,90,100,100,100,0,25,42,75,100,100,14,3,1,5,1,0,9,2,1,64,14,5,50,10,0,75,17,8,36,40,33,12,23,40,8,55,30,75,27,40,17,50,40,58,16,8,8,73,80,67,12,7,5,55,70,42,2,0,2,9,0,17,36,30,42,41,50,33,23,20,25,4.59,5.20,4.08,2.32,2.1,2.50,91,68,55,32,23,5,5,0,1.52,1.49,1.54,1.38,1.15,1.58,55,0,2,2,5,3,2,4,1,3,1,1,2,2,5,0,4,3,5,27,30,25,36,30,42,0
Empoli FC,Empoli,2022/2023,Italy,22,11,11,0,6,4,2,9,4,5,7,3,4,1.23,1.45,1,12,9,12,12,21,28,-7,49,24,25,12,9,12,16,0,-7,95,83,110,71,83,62,7,5,2,10,5,5,6,2,4,12,6,6,92,49,43,59,31,28,48,48,47,293,172,121,112,60,52,181,112,69,262,130,132,7,4,3,11,4,7,-4,0,-4,4,3,1,12,6,6,6,2,4,1.09,1.36,0.82,2.23,2.18,2.27,0.95,1.09,0.82,1.27,1.09,1.45,0.82,0.73,0.91,0.32,0.36,0.27,0.5,0.36,0.64,21,15,7,6,0,0,10,7,4,3,0,0,11,8,3,3,0,0,1,7,15,16,22,22,1,4,7,8,11,11,0,3,8,8,11,11,95,68,32,27,0,0,91,64,36,27,0,0,100,73,27,27,0,0,5,32,68,73,100,100,9,36,64,73,100,100,0,27,73,73,100,100,13,5,0,6,2,0,7,3,0,59,23,0,55,18,0,64,27,0,27,36,18,15,32,45,18,45,45,45,27,18,36,55,55,55,13,8,5,59,73,45,15,7,8,68,64,73,3,1,2,14,9,18,18,27,9,55,55,55,27,18,36,4.18,4.45,3.91,2.68,2.82,2.55,86,82,77,64,36,32,32,14,1.48,1.68,1.28,1.91,1.86,1.95,45,1,1,2,2,3,1,3,2,6,4,1,1,5,0,3,4,2,8,41,36,45,32,27,36,5
AC Milan,AC Milan,2022/2023,Italy,22,11,11,0,12,8,4,5,1,4,5,2,3,1.86,2.27,1.45,5,4,7,6,38,30,8,68,41,27,25,13,16,14,9,-1,52,40,76,66,62,71,5,3,2,15,8,7,4,0,4,11,7,4,91,48,43,60,34,26,54,52,55,354,189,165,134,73,61,220,116,104,273,149,124,15,11,4,16,7,9,-1,4,-5,7,5,2,9,5,4,6,1,5,1.36,1.82,0.91,3.09,3.73,2.45,1.73,2.27,1.18,1.36,1.45,1.27,1.41,1.64,1.18,0.68,1,0.36,0.73,0.64,0.82,20,18,15,8,4,2,11,10,8,5,4,2,9,8,7,3,0,0,2,4,7,14,18,20,0,1,3,6,7,9,2,3,4,8,11,11,91,82,68,36,18,9,100,91,73,45,36,18,82,73,64,27,0,0,9,18,32,64,82,91,0,9,27,55,64,82,18,27,36,73,100,100,17,10,2,9,5,2,8,5,0,77,45,9,82,45,18,73,45,0,55,73,36,12,23,27,18,68,73,64,18,0,36,50,64,36,12,7,5,55,64,45,10,2,8,45,18,73,5,4,1,23,36,9,32,45,18,41,45,36,27,9,45,4.14,4.36,3.91,2.73,3.09,2.36,73,55,45,41,32,23,5,0,1.80,1.92,1.69,1.39,1.38,1.40,82,4,4,5,0,3,5,8,2,7,3,2,6,4,2,3,3,3,4,23,9,36,23,18,27,0
SS Lazio,Lazio,2022/2023,Italy,22,12,10,0,11,6,5,6,3,3,5,3,2,1.77,1.75,1.8,6,5,4,7,37,19,18,56,33,23,21,16,12,7,9,9,54,51,56,105,90,129,11,5,6,9,6,3,4,2,2,17,9,8,98,53,45,47,26,21,52,52,52,257,157,100,111,67,44,146,90,56,221,124,97,20,9,11,4,3,1,16,6,10,14,6,8,5,4,1,3,2,1,2.14,1.83,2.5,2.55,2.75,2.3,1.68,1.75,1.6,0.86,1,0.7,1.09,1,1.2,0.91,0.75,1.1,0.18,0.25,0.1,20,18,11,7,0,0,11,10,7,5,0,0,9,8,4,2,0,0,2,4,11,15,22,22,1,2,5,7,12,12,1,2,6,8,10,10,91,82,50,32,0,0,92,83,58,42,0,0,90,80,40,20,0,0,9,18,50,68,100,100,8,17,42,58,100,100,10,20,60,80,100,100,18,5,1,9,3,0,9,2,1,82,23,5,75,25,0,90,20,10,50,50,50,-6,50,42,60,41,50,30,18,17,20,77,75,80,18,9,9,82,75,90,7,5,2,32,42,20,1,1,0,5,8,0,64,50,80,23,33,10,14,17,10,4.45,4.42,4.50,2.14,2.17,2.10,86,68,59,50,36,27,18,5,1.29,1.37,1.17,1.52,1.53,1.50,41,6,3,5,2,4,2,5,4,6,0,0,1,2,2,5,3,2,4,27,25,30,23,25,20,0
Atalanta Bergamasca Calcio,Atalanta,2022/2023,Italy,22,10,12,0,12,5,7,5,2,3,5,3,2,1.86,1.7,2,3,8,2,4,41,24,17,65,34,31,21,20,13,11,8,9,48,43,54,83,69,98,8,2,6,12,7,5,2,1,1,16,8,8,97,45,52,58,21,37,48,49,48,320,157,163,130,63,67,190,94,96,263,122,141,18,11,7,13,6,7,5,5,0,9,4,5,7,4,3,6,2,4,1.55,1.6,1.5,2.95,3.4,2.58,1.86,2.1,1.67,1.09,1.3,0.92,1.41,1.7,1.17,0.82,1.1,0.58,0.59,0.6,0.58,22,18,10,6,3,2,10,9,5,3,2,1,12,9,5,3,1,1,0,4,12,16,19,20,0,1,5,7,8,9,0,3,7,9,11,11,100,82,45,27,14,9,100,90,50,30,20,10,100,75,42,25,8,8,0,18,55,73,86,91,0,10,50,70,80,90,0,25,58,75,92,92,17,7,4,8,4,2,9,3,2,77,32,18,80,40,20,75,25,17,55,50,58,-3,36,20,50,55,70,42,9,10,8,73,80,67,13,5,8,59,50,67,8,3,5,36,30,42,6,4,2,27,40,17,41,40,42,32,40,25,27,20,33,4.41,4.50,4.33,2.64,2.1,3.08,73,59,55,36,27,18,14,0,1.76,1.83,1.69,1.56,1.53,1.58,77,2,2,5,5,9,8,3,3,4,4,0,4,4,1,4,4,3,0,23,20,25,23,30,17,0
UC Sampdoria,Sampdoria,2022/2023,Italy,22,11,11,0,2,0,2,5,3,2,15,8,7,0.5,0.27,0.73,19,19,17,19,10,36,-26,46,18,28,2,8,16,20,-14,-12,200,500,123,55,62,49,3,2,1,7,2,5,14,9,5,5,0,5,77,43,34,72,32,40,47,49,45,242,104,138,88,26,62,154,78,76,287,120,167,5,0,5,19,8,11,-14,-8,-6,1,0,1,7,3,4,14,8,6,0.45,0.27,0.64,2.09,1.64,2.55,0.45,0.18,0.73,1.64,1.45,1.82,1.09,0.73,1.45,0.23,0,0.45,0.86,0.73,1,20,16,8,2,0,0,9,7,2,0,0,0,11,9,6,2,0,0,2,6,14,20,22,22,2,4,9,11,11,11,0,2,5,9,11,11,91,73,36,9,0,0,82,64,18,0,0,0,100,82,55,18,0,0,9,27,64,91,100,100,18,36,82,100,100,100,0,18,45,82,100,100,17,6,1,8,0,0,9,6,1,77,27,5,73,0,0,82,55,9,9,0,18,-24,14,18,9,32,18,45,64,82,45,23,0,45,6,3,3,27,27,27,18,11,7,82,100,64,3,0,3,14,0,27,5,0,9,32,27,36,64,73,55,3.50,3.91,3.09,3.27,2.91,3.64,73,50,45,27,18,14,0,0,1.02,0.84,1.19,1.61,1.45,1.76,27,0,2,2,1,0,2,0,2,1,4,5,3,2,6,4,3,3,6,23,27,18,68,73,64,0
Udinese Calcio,Udinese,2022/2023,Italy,22,11,11,0,7,3,4,9,6,3,6,2,4,1.36,1.36,1.36,7,10,8,8,30,25,5,55,29,26,17,13,12,13,5,0,66,58,76,79,83,76,6,3,3,14,8,6,5,1,4,6,4,2,118,72,46,50,23,27,50,49,50,359,201,158,118,63,55,241,138,103,263,130,133,12,8,4,16,8,8,-4,0,-4,3,3,0,13,5,8,6,3,3,1,1.27,0.73,2.5,2.64,2.36,1.36,1.55,1.18,1.14,1.09,1.18,1.27,1.45,1.09,0.55,0.73,0.36,0.73,0.73,0.73,19,15,11,7,2,1,10,9,6,4,0,0,9,6,5,3,2,1,3,7,11,15,20,21,1,2,5,7,11,11,2,5,6,8,9,10,86,68,50,32,9,5,91,82,55,36,0,0,82,55,45,27,18,9,14,32,50,68,91,95,9,18,45,64,100,100,18,45,55,73,82,91,16,8,2,10,4,1,6,4,1,73,36,9,91,36,9,55,36,9,32,27,36,9,27,27,27,64,73,55,23,9,36,27,36,18,9,4,5,41,36,45,12,4,8,55,36,73,7,4,3,32,36,27,14,27,0,59,45,73,27,27,27,5.36,6.55,4.18,2.27,2.09,2.45,91,91,77,68,45,23,14,9,1.80,1.96,1.66,1.42,1.37,1.46,59,4,1,4,1,2,1,4,5,8,4,4,1,6,3,3,2,1,1,41,55,27,27,18,36,9
