name,role,aggregate_role,team
I. Provedel,GK,G,LAZ
Elseid Hysaj,DL,D,LAZ
Patric,DC,D,LAZ
N. Casale,DC,D,LAZ
Adam Marusic,DR,D,LAZ
D. Cataldi,MC,M,LAZ
S. Milinkovic-Savic,MC,M,LAZ
Luis Alberto,MC,M,LAZ
F. Anderson,FWR,F,LAZ
C. Immobile,FW,F,LAZ
Emil Audero,GK,G,SAM
B. Nuytinck,D,D,SAM
A. Zanoli,D,D,SAM
Bruno Amione,D,D,SAM
T. Augello,M/D,M,SAM
Harry Winks,M,M,SAM
Tomas Rincon,M,M,SAM
Mehdi Leris,M,M,SAM
M. Cuisance,M,M,SAM
Sam Lammers,F,F,SAM
M. Gabbiadini,F,F,SAM
M. Carnesecchi,GK,G,CRE
L. Lochoshvili,DC,D,CRE
M. Bianchetti,DC,D,CRE
Alex Ferrari,DC,D,CRE
E. Valeri,ML,M,CRE
M. Benassi,MC,M,CRE
S. Meite,MC,M,CRE
C. Pickel,MC,M,CRE
L. Sernicola,MR,M,CRE
D. Okereke,FW,F,CRE
C. Dessers,FW,F,CRE
Rui Patricio,GK,G,ROM
G. Mancini,DC,D,ROM
M. Kumbulla,DC,D,ROM
Roger Ibanez,DC,D,ROM
L. Spinazzola,ML,M,ROM
N. Matic,MC,M,ROM
B. Cristante,MC,M,ROM
N. Zalewski,MR,M,ROM
O. Solbakken,AMC,A,ROM
L. Pellegrini,AMC,A,ROM
T. Abraham,FW,F,ROM
W. Szczesny,GK,G,JUV
Danilo,DC,D,JUV
Alex Sandro,DC,D,JUV
Bremer,DC,D,JUV
Filip Kostic,ML,M,JUV
A. Rabiot,MC,M,JUV
L. Paredes,MC,M,JUV
N. Fagioli,MC,M,JUV
J. Cuadrado,MR,M,JUV
A. Di Maria,FW,F,JUV
D. Vlahovic,FW,F,JUV
V. Milinkovic-Savic,GK,G,TOR
A. Buongiorno,DC,D,TOR
Koffi Djidji,DC,D,TOR
Perr Schuurs,DC,D,TOR
M. Vojvoda,ML,M,TOR
Ivan Ilic,MC,M,TOR
K. Linetty,MC,M,TOR
W. Singo,MR,M,TOR
A. Miranchuk,AMC,A,TOR
Yann Karamoh,AMC,A,TOR
A. Sanabria,FW,F,TOR
Alex Meret,GK,G,NAP
M. Olivera,DL,D,NAP
Kim Min-Jae,DC,D,NAP
A. Rrahmani,DC,D,NAP
G. Di Lorenzo,DR,D,NAP
S. Lobotka,MC,M,NAP
Frank Anguissa,MC,M,NAP
P. Zielinski,MC,M,NAP
K. Kvaratskhelia,FWL,F,NAP
H. Lozano,FWR,F,NAP
V. Osimhen,FW,F,NAP
I. Provedel,GK,G,LAZ
Adam Marusic,DL,D,LAZ
N. Casale,DC,D,LAZ
Elseid Hysaj,DR,D,LAZ
D. Cataldi,MC,M,LAZ
S. Milinkovic-Savic,MC,M,LAZ
Luis Alberto,MC,M,LAZ
F. Anderson,FWR,F,LAZ
C. Immobile,FW,F,LAZ
M. Di Gregorio,GK,G,MON
Pablo Mari,DC,D,MON
Marlon,DC,D,MON
Armando Izzo,DC,D,MON
Carlos Augusto,ML,M,MON
Jose Machin,MC,M,MON
S. Sensi,MC,M,MON
P. Ciurria,MR,M,MON
G. Caprari,AMC,A,MON
M. Pessina,AMC,A,MON
A. Petagna,FW,F,MON
G. Vicario,GK,G,EMP
F. Parisi,DL,D,EMP
A. Ismajli,DC,D,EMP
S. Luperto,DC,D,EMP
T. Ebuehi,DR,D,EMP
F. Bandinelli,MC,M,EMP
Razvan Marin,MC,M,EMP
J. Akpa Akpro,MC,M,EMP
T. Baldanzi,AMC,A,EMP
Martin Satriano,FW,F,EMP
F. Caputo,FW,F,EMP
Juan Musso,GK,G,ATA
G. Scalvini,DC,D,ATA
