name,role,aggregate_role
G. Vicario,GK,G
F. Parisi,DL,D
A. Ismajli,DC,D
S. Luperto,DC,D
T. Ebuehi,DR,D
Nicolas Haas,MC,M
L. Henderson,MC,M
Razvan Marin,MC,M
T. Baldanzi,AMC,A
Martin Satriano,FW,F
R. Piccoli,FW,F
Alex Meret,GK,G
Mario Rui,DL,D
A. Rrahmani,DC,D
Kim Min-Jae,DC,D
G. Di Lorenzo,DR,D
S. Lobotka,MC,M
Frank Anguissa,MC,M
Eljif Elmas,MC,M
K. Kvaratskhelia,FWL,F
M. Politano,FWR,F
V. Osimhen,FW,F
W. Falcone,GK,G
A. Gallo,DL,D
F. Baschirotto,DC,D
V. Gendrey,DR,D
M. Hjulmand,MC,M
J. Gonzalez,MC,M
Alexis Blin,MC,M
G. Strefezza,FWR,F
Assan Ceesay,FW,F
A. Consigli,GK,G
Rogerio,DL,D
Martin Erlic,DC,D
Ruan,DC,D
Nadir Zortea,DR,D
Matheus Henrique,MC,M
D. Frattesi,MC,M
Maxime Lopez,MC,M
N. Bajrami,FWL,F
D. Berardi,FWR,F
G. Defrel,FW,F
L. Skorupski,GK,G
A. Cambiaso,DL,D
Jhon Lucumi,DC,D
Joaquin Sosa,DC,D
J. Schouten,DMC,D
N. Dominguez,DMC,D
R. Soriano,AML,A
L. Ferguson,AMC,A
R. Orsolini,AMR,A
Musa Barrow,FW,F
Andre Onana,GK,G
M. Skriniar,DC,D
A. Bastoni,DC,D
F. Acerbi,DC,D
F. Dimarco,ML,M
M. Brozovic,MC,M
H. Calhanoglu,MC,M
N. Barella,MC,M
M. Darmian,MR,M
R. Lukaku,FW,F
L. Martinez,FW,F
Luigi Sepe,GK,G
F. Daniliuc,DC,D
M. Lovato,DC,D
L. Pirola,DC,D
D. Bradaric,ML,M
D. Crnigoj,MC,M
L. Coulibaly,MC,M
A. Candreva,MR,M
F. Bonazzoli,AMC,A
T. Vilhena,AMC,A
K. Piatek,FW,F
M. Di Gregorio,GK,G
Pablo Mari,DC,D
L. Caldirola,DC,D
Armando Izzo,DC,D
P. Ciurria,ML,M
S. Sensi,MC,M
M. Pessina,MC,M
G. Donati,MR,M
G. Caprari,AMC,A
D. Mota Carvalho,AMC,A
A. Petagna,FW,F
M. Silvestri,GK,G
Rodrigo Becao,DC,D
Adam Masina,DC,D
Destiny Udogie,M/D,M
Sandi Lovric,MC,M
R. Pereyra,MC,M
Walace,MC,M
K. Ehizibue,MR,M
Beto,FW,F
F. Thauvin,FW,F
M. Caldara,DC,D
Kelvin Amian,DC,D
D. Nikolaou,DC,D
A. Reca,ML,M
M. Bourabia,MC,M
S. Esposito,MC,M
K. Agudelo,MC,M
E. Gyasi,MR,M
M'Bala Nzola,FW,F
D. Verde,FW,F
C. Tatarusanu,GK,G
F. Tomori,DC,D
P. Kalulu,DC,D
Malick Thiaw,DC,D
T. Hernandez,ML,M
Rade Krunic,MC,M
S. Tonali,MC,M
A. Saelemaekers,MR,M
Brahim Diaz,AMC,A
Rafael Leao,AMC,A
O. Giroud,FW,F
Juan Musso,GK,G
J. Palomino,DC,D
Rafael Toloi,DC,D
G. Scalvini,DC,D
J. Maehle,ML,M
Ederson,MC,M
M. de Roon,MR,M
D. Zappacosta,MR,M
T. Koopmeiners,AMC,A
R. Hojlund,FW,F
A. Lookman,FW,F
L. Montipo,GK,G
Isak Hien,DC,D
P. Dawidowicz,DC,D
G. Magnani,DC,D
Josh Doig,ML,M
A. Tameze,MC,M
Ondrej Duda,MC,M
F. Depaoli,MR,M
D. Lazovic,AMC,A
Cyril Ngonge,AMC,A
Adolfo Gaich,FW,F
P. Terracciano,GK,G
C. Biraghi,DL,D
Dodo,DC,D
Igor,DC,D
L. Martinez Quarta,DC,D
A. Barak,MC,M
S. Amrabat,MC,M
G. Bonaventura,MC,M
R. Saponara,FWL,F
N. Gonzalez,FWR,F
Luka Jovic,FW,F
I. Provedel,GK,G
Elseid Hysaj,DL,D
Patric,DC,D
N. Casale,DC,D
Adam Marusic,DR,D
D. Cataldi,MC,M
S. Milinkovic-Savic,MC,M
Luis Alberto,MC,M
F. Anderson,FWR,F
C. Immobile,FW,F
Emil Audero,GK,G
J. Murillo,DC,D
B. Nuytinck,DC,D
Bruno Amione,DC,D
T. Augello,ML,M
Harry Winks,MC,M
M. Cuisance,MC,M
Mehdi Leris,MR,M
F. Djuricic,AMC,A
M. Gabbiadini,FW,F
Sam Lammers,FW,F
M. Carnesecchi,GK,G
L. Lochoshvili,DC,D
M. Bianchetti,DC,D
Alex Ferrari,DC,D
E. Valeri,ML,M
S. Meite,MC,M
M. Benassi,MC,M
C. Pickel,MC,M
L. Sernicola,MR,M
D. Okereke,FW,F
C. Dessers,FW,F
Rui Patricio,GK,G
G. Mancini,DC,D
M. Kumbulla,DC,D
Roger Ibanez,DC,D
L. Spinazzola,ML,M
B. Cristante,MC,M
N. Matic,MC,M
N. Zalewski,MR,M
O. Solbakken,AMC,A
L. Pellegrini,AMC,A
T. Abraham,FW,F
W. Szczesny,GK,G
Danilo,DC,D
Alex Sandro,DC,D
Bremer,DC,D
Filip Kostic,ML,M
L. Paredes,MC,M
A. Rabiot,MC,M
N. Fagioli,MC,M
J. Cuadrado,MR,M
A. Di Maria,FW,F
D. Vlahovic,FW,F
V. Milinkovic-Savic,GK,G
A. Buongiorno,DC,D
Koffi Djidji,DC,D
Perr Schuurs,DC,D
M. Vojvoda,ML,M
Ivan Ilic,MC,M
K. Linetty,MC,M
W. Singo,MR,M
Yann Karamoh,AMC,A
A. Miranchuk,AMC,A
A. Sanabria,FW,F
